Order,ALTALTSPECIES,IUCN name,Tree name,HWI,Sample size,Body mass (log),Range Size,Island,Migration-1,Migration-2,Migration-3,Territoriality,Diet,Habitat,Latitude,AnnualTemp,TempRange,AnnualPrecip,PrecipRange,ALTSPECIES
Galliformes,Ortalis_poliocephala,Ortalis poliocephala,Ortalis_poliocephala,9.835392347,4,2.880813592,31,0,Not a Migrant,1,resident,strong,omnivore,1,18.07,22.667475,19.98075,1159.215227,261.6803489,Ortalis_poliocephala
Galliformes,Ortalis_canicollis,Ortalis canicollis,Ortalis_canicollis,13.14876499,9,2.731588765,122,0,Not a Migrant,1,resident,strong,omnivore,1,-23.3,22.64276352,22.98890755,949.5152264,133.4170101,Ortalis_canicollis
Galliformes,Ortalis_leucogastra,Ortalis leucogastra,Ortalis_leucogastra,17.19149178,4,2.695324041,14,0,Not a Migrant,1,resident,strong,fruit,1,13.89,24.68513333,15.87877619,1719.853333,344.1275022,Ortalis_leucogastra
Galliformes,Ortalis_guttata,Ortalis guttata,Ortalis_guttata,15.00279256,4,2.738558599,399,0,Not a Migrant,1,resident,strong,fruit,1,-7.81,24.10084944,13.62120797,2071.512883,200.5733985,Ortalis_guttata
Galliformes,Ortalis_araucuan,Ortalis araucuan,NA,11.64757957,4,NA,NA,NA,Not a Migrant,1,resident,strong,NA,1,NA,NA,NA,NA,NA,NA
Galliformes,Ortalis_squamata,Ortalis squamata,NA,10.01645347,5,NA,NA,NA,Not a Migrant,1,resident,strong,NA,1,NA,NA,NA,NA,NA,NA
Galliformes,Ortalis_columbiana,Ortalis columbiana,NA,11.93080782,4,NA,NA,NA,Not a Migrant,1,resident,strong,NA,1,NA,NA,NA,NA,NA,NA
Galliformes,Ortalis_motmot,Ortalis motmot,Ortalis_motmot,14.84231273,4,2.716003344,209,0,Not a Migrant,1,resident,strong,fruit,1,1.26,26.00688889,12.02194799,2264.559283,294.7598384,Ortalis_motmot
Galliformes,Ortalis_ruficeps, NA,NA,16.01638912,4,NA,NA,NA,NA,1,resident,strong,NA,1,NA,NA,NA,NA,NA,NA
Galliformes,Ortalis_superciliaris,Ortalis superciliaris,Ortalis_superciliaris,12.28942928,5,2.762378429,41,0,Not a Migrant,1,resident,strong,fruit,1,-3.51,26.63142394,12.61143606,1917.437746,336.5179614,Ortalis_superciliaris
Galliformes,Penelope_argyrotis,Penelope argyrotis,Penelope_argyrotis,12.65632801,4,2.906717441,29,0,Not a Migrant,1,resident,weak,fruit,1,8.74,23.12042353,12.75408824,1613.237059,224.6548844,Penelope_argyrotis
Galliformes,Penelope_barbata,Penelope barbata,Penelope_barbata,12.23723181,4,3.071756854,7,0,Not a Migrant,1,resident,weak,fruit,1,-4.87,19.02587333,13.89616667,1102.657667,121.6288491,Penelope_barbata
Galliformes,Penelope_ortoni,Penelope ortoni,Penelope_ortoni,12.19379252,4,3.071756854,19,0,Not a Migrant,1,resident,weak,fruit,1,2.29,22.43285556,10.12451593,3436.851222,285.5602604,Penelope_ortoni
Galliformes,Penelope_montagnii,Penelope montagnii,Penelope_montagnii,10.20607674,4,2.848804701,89,0,Not a Migrant,1,resident,weak,fruit,1,-3.13,19.551653,14.49899391,1813.286391,205.3678114,Penelope_montagnii
Galliformes,Penelope_marail,Penelope marail,Penelope_marail,10.66501014,4,2.944319781,121,0,Not a Migrant,1,resident,weak,fruit,1,2.6,26.16188795,11.2878638,2224.72753,298.5215042,Penelope_marail
Galliformes,Penelope_superciliaris,Penelope superciliaris,Penelope_superciliaris,13.36030331,4,2.951818183,502,0,Not a Migrant,1,resident,weak,fruit,1,-13.53,23.96893517,16.40011535,1497.440121,226.0366819,Penelope_superciliaris
Galliformes,Penelope_dabbenei,Penelope dabbenei,Penelope_dabbenei,12.26300796,4,3.089905111,10,0,Not a Migrant,1,resident,weak,fruit,1,-20.34,19.34104167,21.96305833,770.1591667,142.9875,Penelope_dabbenei
Galliformes,Penelope_purpurascens,Penelope purpurascens,Penelope_purpurascens,12.02755229,6,3.31386722,190,0.026315789,Not a Migrant,1,resident,weak,fruit,1,12.46,24.08309386,14.37393155,1900.830448,273.6907412,Penelope_purpurascens
Galliformes,Penelope_perspicax,Penelope perspicax,Penelope_perspicax,12.21590909,1,3.071756854,5,0,Not a Migrant,1,resident,weak,fruit,1,3.41,19.85029,10.99566,2823.58,206.39552,Penelope_perspicax
Galliformes,Penelope_albipennis,Penelope albipennis,Penelope_albipennis,16.44685018,4,3.243038049,5,0,Not a Migrant,1,resident,weak,fruit,1,-4.92,21.4922125,15.0825625,509.3474625,118.1287709,Penelope_albipennis
Galliformes,Penelope_jacquacu,Penelope jacquacu,Penelope_jacquacu,9.835742428,4,3.172573744,458,0,Not a Migrant,1,resident,weak,fruit,1,-4.37,25.20192781,13.60605207,2277.018351,248.1493436,Penelope_jacquacu
