"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Tree.name","Scientific","HWI","Diet"
"White-collared Blackbird",2,3809.7,3710,3904.015,3518.25,3442.975,3537.5,300.075,185.09125,429.837500000001,3800,3500,13.9904637560059,7.93913724670984,0.0306574764786761,0.0187534975781068,6.05132650929601,2.19283950617284,-8.15496296296296,0.0304532378490776,0.0487689047393203,10.3478024691358,22.1454267189689,"Turdus_albocinctus","Turdus albocinctus",24.90550183,"omnivore"
"Himalayan Bluetail",2,3895,3826.945,3977.3,2939.95,2822.7275,3004,963.1,883.7475,1084.83,3900,2900,13.6853239730576,7.46819087373115,0.0291151560351996,0.0180671262228605,6.21713309932644,5.26536360532605,-5.03074428132468,0.0317618622389557,0.0470441774403132,10.2961078866507,18.7160682543823,"Tarsiger_cyanurus","Tarsiger rufilatus",24.20172469,"invertebrates"
"Rufous-bellied Niltava",2,3005.7,3005.7,3005.7,2747.15,2747.15,2747.15,258.550000000001,258.550000000001,258.550000000001,3000,2700,16.6216885245902,11.4577213114754,0.0203139228414607,0.022702062730945,5.16396721311475,6.42037037037037,-3.98791969539633,0.0333414430061879,0.0490190660358988,10.4082900657667,20.6096082199865,"Niltava_sundara","Niltava sundara",18.11338347,"invertebrates"
"Small Niltava",2,2356.75,2113.555,2501.13,1798.6,1682.1225,1898.1025,557.45,296.468749999999,746.413749999998,2400,1800,19.3273056913133,14.2997319880183,0.0171888060626102,0.0194574371673969,5.02757370329497,12.0716592201462,1.46834890333063,0.031545239000129,0.0358209631590314,10.6033103168156,17.8589567879827,"Niltava_macgrigoriae","Niltava macgrigoriae",16.34040579,"invertebrates"
"Large Niltava",0,2432.5,2312.075,2501,2325,2297.45625,2338.25,104.525,-13.2550000000001,182.28625,2400,2300,19.3273056913133,14.2997319880183,0.0171888060626102,0.0194574371673969,5.02757370329497,8.85349194167306,-1.58595548733691,0.0356887095113754,0.0453355709108195,10.43944742901,20.9132611786502,"Niltava_grandis","Niltava grandis",19.75640767,"invertebrates"
"Oriental Magpie-Robin",0,1584,1489.695,1656,1638.5,1515.095,1749.0875,-72.5749999999995,-223.75125,77.4637500000003,1600,1600,23.1558970756125,18.2352595064547,0.0124787985534398,0.0114270197583065,4.92063756915781,13.3181259330816,2.63019232458066,0.0292256301139292,0.033420129195188,10.6879336085009,20.5257047510318,"Copsychus_saularis","Copsychus saularis",18.59340096,"invertebrates"
"White-capped Redstart",2,4167.95,4060.915,4217,2855.3,2805,3070.5,1297.575,1095.4975,1402.9175,4200,2900,12.5311443148688,6.15377551020408,0.0229467326474226,0.0152017007851174,6.37736880466472,5.26536360532605,-5.03074428132468,0.0317618622389557,0.0470441774403132,10.2961078866507,17.5618885961935,"Chaimarrornis_leucocephalus","Phoenicurus leucocephalus",19.9228806,"invertebrates"
"Plumbeous Redstart",2,2838.7,2785.76,2964.86,2598,2598,2645.35,233.6,161.88875,365.241250000001,2800,2600,17.531059683313,12.3816773969027,0.0218265820000198,0.0247513180043894,5.1493822864103,7.03609110701725,-3.34727851281192,0.0332641763746914,0.0478117658773588,10.3833696198292,20.8783381961249,"Rhyacornis_fuliginosa","Phoenicurus fuliginosus",25.41461187,"invertebrates"
"Blue-fronted Redstart",2,4217,4188.455,4303.04125,3313.6,3140,3336.83,932.45,872.205,1098.245,4200,3300,12.5311443148688,6.15377551020408,0.0229467326474226,0.0152017007851174,6.37736880466472,3.1560441426146,-7.21617996604414,0.0319695407232148,0.049670851654882,10.3722241086587,19.7473242809129,"Phoenicurus_frontalis","Phoenicurus frontalis",23.22957052,"invertebrates"
"Gray Bushchat",2,3137,3024.37,3329.6175,2333.2,2286.8175,2403.8,798.95,658.37,997.833749999999,3100,2300,16.1871616932686,10.966932685635,0.0215582096824161,0.0244435401257766,5.22022900763359,8.85349194167306,-1.58595548733691,0.0356887095113754,0.0453355709108195,10.43944742901,17.7731171806055,"Saxicola_ferreus","Saxicola ferreus",18.27315103,"invertebrates"
"Pied Bushchat",0,1574.2,1425,1872.93375,1523.35,1425,1658.605,40.3249999999998,-172.84125,393.95625,1600,1500,23.1558970756125,18.2352595064547,0.0124787985534398,0.0114270197583065,4.92063756915781,13.9486375450658,3.19685587322881,0.0280955325359026,0.0325298947366589,10.751781671837,19.9590412023837,"Saxicola_caprata","Saxicola caprata",11.2556987,"invertebrates"
"Siberian Stonechat",2,2309,2151.31875,2700,1784,1707.625,1861.85,525,348.674999999999,915.59375,2300,1800,19.7901458173446,14.7758250191865,0.0182714205579835,0.0203864041737433,5.0143207981581,12.0716592201462,1.46834890333063,0.031545239000129,0.0358209631590314,10.6033103168156,18.321796914014,"Saxicola_torquatus","Saxicola maurus",20.28591868,"invertebrates"
"Chestnut-bellied Rock-Thrush",2,3434,3284.8825,3446,2847.95,2601.27,2849.85,586.05,467.39,830.225,3400,2800,14.901333777926,9.59323107702568,0.0243632447136759,0.0264629273742117,5.3081027009003,5.90342787541326,-4.49949538889856,0.0329520440574153,0.0492310649162341,10.4029232643118,19.4008291668246,"Monticola_rufiventris","Monticola rufiventris",23.81022843,"invertebrates"
"Rufous-gorgeted Flycatcher",2,3607.2,3443.9975,3649.7,2531,2463,2594,1058.75,881.841249999999,1166,3600,2500,14.7688242424242,8.89770909090909,0.0340276783944198,0.0216597034703794,5.87111515151515,7.6122706615048,-2.77495371149638,0.0338142589724829,0.0476350238514528,10.3872243730012,17.5437779539206,"Ficedula_strophiata","Ficedula strophiata",21.74575246,"invertebrates"
"Taiga Flycatcher",0,1447.4,1425,1657.32625,1444.975,1425,1591.2525,0,-144.7,211.34,1400,1400,24.2181987867475,19.2667599937782,0.0117237563642757,0.00967725839125455,4.95143879296936,14.5616503344221,3.75029553585317,0.0269276097642542,0.0317009137275114,10.811354798569,20.4679032508943,"Ficedula_albicilla","Ficedula albicilla",26.63375572,"invertebrates"
"Blue Whistling-Thrush",2,3269.1,3140,3444.22,3100.8,2962,3137,192.775000000001,20.45625,440.715,3300,3100,15.3279796264856,10.0359252971138,0.0235225688163147,0.0256663340638877,5.29205432937182,4.20968077723803,-6.12248438584316,0.0319093593970038,0.0487321720173269,10.3321651630812,21.4504640123288,"Myophonus_caeruleus","Myophonus caeruleus",20.72113387,"invertebrates"
"Orange-bellied Leafbird",1,1905.15,1820.73125,2125.35375,2217.4,2046.82875,2463,-312.650000000001,-630.265,-17.8449999999988,1900,2200,21.6982190355036,16.7341274430438,0.0145048450287383,0.015474462332119,4.96409159245981,9.48432364096081,-0.977145666526197,0.0346112174060639,0.0432518991191248,10.461469307487,22.6753647020298,"Chloropsis_hardwickii","Chloropsis hardwickii",19.49529362,"omnivore"
