"group.id","LOCALITY.ID","LATITUDE","LONGITUDE"
"G7845871","L17688911",33.0353232,74.4853383
"G7846698","L4012182",32.5411713,74.6910372
"G7849683","L17688911",33.0353232,74.4853383
"G7849892","L17696858",33.9092192,74.8033667
"G7849894","L17696394",33.84653,74.75165
"G7849896","L17696680",33.8340125,74.7471708
"G7849897","L17696641",33.8072891,74.7039786
"G7849899","L17696392",33.8081167,74.7071942
"G7849902","L17696394",33.84653,74.75165
"G7849905","L17729407",34.2211035,74.7317693
"G7849905","L17689364",34.2212225,74.7311025
"G7849913","L17688131",34.2696642,74.8855192
"G7849916","L17688131",34.2696642,74.8855192
"G7849923","L17688137",34.1098933,74.7400425
"G7849934","L17688185",34.0968692,74.8821467
"G7849938","L7768352",34.0916184,74.8806381
"G7849940","L17679727",34.1560567,74.8958533
"G7849941","L17679740",34.1587983,74.9120192
"G7849944","L17679620",34.1481958,74.9207983
"G7849946","L17679627",34.1388408,74.9308967
"G7849947","L17679643",34.1263217,74.9417033
"G7849948","L17679743",34.1251217,74.9426367
"G7849950","L17679743",34.1251217,74.9426367
"G7849952","L17679643",34.1263217,74.9417033
"G7849954","L17679740",34.1587983,74.9120192
"G7849957","L17679748",34.0869883,74.8495475
"G7849958","L1108506",34.0819955,74.8401976
"G7849960","L3823608",34.1025659,74.711194
"G7849963","L1108506",34.0819955,74.8401976
"G7849968","L17679754",34.0045108,74.7630317
"G7853048","L7768352",34.0916184,74.8806381
"G7853222","L17706320",34.00141,74.7612075
"G7856796","L11775538",33.1230637,74.3436479
"G7856797","L4012182",32.5411713,74.6910372
"G7858206","L8128825",34.2654059,74.9084676
"G7858321","L7768352",34.0916184,74.8806381
"G7858345","L17678716",34.0821142,74.83734
"G7858565","L13144858",34.0199658,74.7910404
"G7875821","L1108461",34.1200937,74.8618591
"G7875825","L3922980",34.1307585,74.8361206
"G7876934","L17742843",33.0578326,74.4867789
"G7877378","L17717984",32.5120352,75.3753988
"G7885385","L17307502",34.2651232,74.9083192
"G7885385","L17938288",34.2731589,74.8849261
"G7887660","L11671075",33.840674,74.6581328
"G7887784","L17307502",34.2651232,74.9083192
"G7888773","L2743097",34.1408841,75.0378036
"G7888775","L2743097",34.1408841,75.0378036
"G7888781","L2743097",34.1408841,75.0378036
"G7888821","L2743097",34.1408841,75.0378036
"G7888824","L2743097",34.1408841,75.0378036
"G7888829","L2743097",34.1408841,75.0378036
"G7888840","L2743097",34.1408841,75.0378036
"G7888841","L2743097",34.1408841,75.0378036
"G7888919","L17779754",33.8086512,74.7196419
"G7889863","L7768352",34.0916184,74.8806381
"G7894175","L3823608",34.1025659,74.711194
"G7894179","L14750986",34.0083911,74.7430066
"G7894247","L17802354",34.0015753,74.7625725
"G7894248","L17802354",34.0015753,74.7625725
"G7902592","L1108506",34.0819955,74.8401976
"G7904453","L8128825",34.2654059,74.9084676
"G7919237","L3353046",32.7191469,74.869101
"G7924300","L17895841",33.8351203,74.7479244
