Tree.name,Species,Median_S_upper,Median_diff_upper,Species,Median_S_median,Median_diff_median,Species,Median_S_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Niltava_grandis,Large Niltava,2440.2,107.675,Large Niltava,1783,68.25,Large Niltava,806.85,627.85,1633.35,0.044125482,0.038278183,0.778149594
Niltava_macgrigoriae,Small Niltava,2356.75,557.45,Small Niltava,1586,772.5,Small Niltava,389.8,247.575,1966.95,0.236533362,0.487074401,0.635133402
Niltava_sundara,Rufous-bellied Niltava,2929.4,209.175,Rufous-bellied Niltava,1993,1103,Rufous-bellied Niltava,735.8,546.9,2193.6,0.071405407,0.55343703,0.743272628
Nucifraga_caryocatactes,Eurasian Nutcracker,3722,121.4,Eurasian Nutcracker,3022,125.5,Eurasian Nutcracker,2443,145.35,1279,0.032616873,0.041528789,0.059496521
Nyctyornis_athertoni,Blue-bearded Bee-eater,1839.6,793,Blue-bearded Bee-eater,649.5,281,Blue-bearded Bee-eater,137.5,9.6,1702.1,0.431071972,0.432640493,0.069818182
Oriolus_traillii,Maroon Oriole,2677,371.275,Maroon Oriole,1640.5,1107.25,Maroon Oriole,232.2,113.15,2444.8,0.138690699,0.674946663,0.487295435
Oriolus_xanthornus,Black-hooded Oriole,536,35.325,Black-hooded Oriole,150,-22,Black-hooded Oriole,44,-29.6,492,0.065904851,-0.146666667,-0.672727273
Orthotomus_sutorius,Common Tailorbird,1551.325,-60.375,Common Tailorbird,981,0,Common Tailorbird,137,16.825,1414.325,-0.038918344,0,0.122810219
Otus_lettia,Collared Scops-Owl,1425,-31.5,Collared Scops-Owl,1425,0,Collared Scops-Owl,638.75,-99.75,786.25,-0.022105263,0,-0.156164384
Otus_spilocephalus,Mountain Scops-Owl,2474,55.8,Mountain Scops-Owl,1837,889,Mountain Scops-Owl,676.1,193.275,1797.9,0.022554568,0.483941208,0.285867475
Paradoxornis_unicolor,Brown Parrotbill,3269.7,54.9,Brown Parrotbill,2677,7,Brown Parrotbill,2416.4,-11,853.3,0.016790531,0.002614867,-0.004552226
Parus_ater,Coal Tit,3892.75,-80.3,Coal Tit,3266.5,-153,Coal Tit,2641.65,62.05,1251.1,-0.020628091,-0.046839124,0.023489107
Parus_dichrous,Gray-crested Tit,3807.9,-80.775,Gray-crested Tit,3331.5,-57.5,Gray-crested Tit,2677,-25.7,1130.9,-0.021212479,-0.017259493,-0.009600299
Parus_major,Cinereous Tit,1713.8,164.3,Cinereous Tit,837,34,Cinereous Tit,111.65,9.7,1602.15,0.09586883,0.040621266,0.086878639
Parus_monticolus,Green-backed Tit,3137,172.975,Green-backed Tit,2252,-18.5,Green-backed Tit,962.9,-109.65,2174.1,0.055140261,-0.00821492,-0.113874753
Parus_rubidiventris,Rufous-vented Tit,3994.45,141.75,Rufous-vented Tit,3447,45,Rufous-vented Tit,2805.7,67.975,1188.75,0.035486738,0.01305483,0.024227466
Parus_spilonotus,Yellow-cheeked Tit,2575.8,97.6,Yellow-cheeked Tit,2002,124,Yellow-cheeked Tit,1287.05,485.95,1288.75,0.037891141,0.061938062,0.377568859
Parus_xanthogenys,Himalayan Black-lored Tit,2328,-242.25,Himalayan Black-lored Tit,1417,30.5,Himalayan Black-lored Tit,714,92.8,1614,-0.104059278,0.021524347,0.129971989
Passer_domesticus,House Sparrow,1854,238.975,House Sparrow,981,-339,House Sparrow,121.7,4.15,1732.3,0.12889698,-0.345565749,0.034100247
Passer_montanus,Eurasian Tree Sparrow,2674.375,-173.225,Eurasian Tree Sparrow,1425,0,Eurasian Tree Sparrow,402.75,-107.225,2271.625,-0.064772143,0,-0.266232154
Passer_rutilans,Russet Sparrow,3185.325,45.8,Russet Sparrow,2357,21,Russet Sparrow,1402,-146.875,1783.325,0.014378439,0.008909631,-0.104761056
Pavo_cristatus,Indian Peafowl,602.025,-267.775,Indian Peafowl,187,-5.5,Indian Peafowl,93.5,-3.375,508.525,-0.444790499,-0.029411765,-0.036096257
Pellorneum_ruficeps,Puff-throated Babbler,1402,375.8,Puff-throated Babbler,469,255,Puff-throated Babbler,151.9,9.9,1250.1,0.268045649,0.543710021,0.065174457
Pericrocotus_ethologus,Long-tailed Minivet,3434,585.075,Long-tailed Minivet,1836.75,605,Long-tailed Minivet,548.75,405.4,2885.25,0.170377111,0.329386144,0.738769932
Pericrocotus_flammeus,Scarlet Minivet,2710.4,736.55,Scarlet Minivet,1016,353,Scarlet Minivet,186.6,67.225,2523.8,0.271749557,0.347440945,0.360262594
Pericrocotus_solaris,Gray-chinned Minivet,2656,468.1,Gray-chinned Minivet,1713,547,Gray-chinned Minivet,618.775,65.725,2037.225,0.17624247,0.319322825,0.106217931
