"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff","elev_roundS","elev_roundW","maxTemp_June_mean","minTemp_June_mean","maxTemp_June_ci","minTemp_June_ci","tempRange_June","maxTemp_Jan_mean","minTemp_Jan_mean","maxTemp_Jan_ci","minTemp_Jan_ci","tempRange_Jan","ThermalRegime","Tree.name","Scientific","HWI","Diet"
"Black-crested Bulbul",0,322.6,269.6325,373.97625,374.25,356.4175,381,-52.3,-104.4025,7.27125000000002,300,400,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,33.434185467478,"Pycnonotus_melanicterus","Rubigula flaviventris",11.70930131,"fruit"
"Red-whiskered Bulbul",0,272,268,272,264.25,245,272,7.44999999999999,-1.95124999999999,27,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Pycnonotus_jocosus","Pycnonotus jocosus",14.25432338,"omnivore"
"Himalayan Bulbul",2,432.575,409,441.05125,388,381,388,46,21,56.70625,400,400,37.5845152127864,26.1657904871943,0.0136710487453596,0.0136089274947692,11.4187247255921,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,32.4272650683612,"Pycnonotus_leucogenys","Pycnonotus leucogenys",14.63443237,"omnivore"
"Black Bulbul",2,602,602,658.62625,404,381,441,214,161,266.21,600,400,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,29.7602691027946,"Hypsipetes_leucocephalus","Hypsipetes leucocephalus",24.70445229,"fruit"
"Gray-hooded Warbler",2,861,777.39625,969.5125,403,388,431.165,458,372,565.0075,900,400,32.2180233038592,21.2051731261879,0.0350487650186013,0.0164268078164792,11.0128501776713,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,27.060773159434,"Phylloscopus_xanthoschistos","Phylloscopus xanthoschistos",16.03329717,"invertebrates"
"Greenish Warbler",0,272,272,272,272,272,272,0,0,0,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Phylloscopus_trochiloides","Phylloscopus trochiloides",19.14556042,"invertebrates"
"Whistler's Warbler",0,468.5,400.095,591,392.7,372,421.6025,74,-1.80000000000001,217.015,500,400,36.562360461788,25.090897815094,0.0172640392963805,0.0151420040932137,11.471462646694,18.7463075293665,5.15725014442519,0.0184769880609363,0.0124636720790396,13.5890573849413,31.4051103173628,"Seicercus_whistleri","Phylloscopus whistleri",14.76874658,"invertebrates"
"Hume's Warbler",0,279.125,272,325.415,272,272,272,7.125,0,53.415,300,300,38.5914356119032,27.2289492494639,0.00934415416116112,0.00963930096723773,11.3624863624393,20.2658092246341,6.54549490237388,0.010205420824288,0.00805836920284432,13.7203143222603,32.0459407095293,"Phylloscopus_humei","Phylloscopus humei",24.74809336,"invertebrates"
"Lemon-rumped Warbler",2,602,602,818.97125,492,441,591,116.675,11,312.435,600,500,34.9175192472198,23.660621613915,0.0278416027627093,0.0157774437863449,11.2568976333048,17.7348758070159,4.32065960627167,0.0201811620585231,0.0127904185067229,13.4142162007442,30.5968596409481,"Phylloscopus_chloronotus","Phylloscopus chloronotus",16.95657218,"invertebrates"
"Buff-barred Warbler",2,1336,1241.9,1396.95,883.75,609.2625,1215,449.25,87.175,738.475,1300,900,29.6548734226214,18.214364790586,0.0189297806672846,0.0105403264791269,11.4405086320353,14.3619287662177,1.62382447731592,0.0300012781986552,0.0141672933514139,12.7381042889017,28.0310489453055,"Phylloscopus_pulcher","Phylloscopus pulcher",14.20580279,"invertebrates"
"Ashy-throated Warbler",2,1340,1277,1562.05,1179.1,950.6725,1249.5475,162.45,54,462.03375,1300,1200,29.6548734226214,18.214364790586,0.0189297806672846,0.0105403264791269,11.4405086320353,12.5616765358993,-0.11119541080681,0.0408701599668271,0.0195692942942554,12.6728719467061,29.7660688334282,"Phylloscopus_maculipennis","Phylloscopus maculipennis",16.98375989,"invertebrates"
"Black-faced Warbler",2,1498,1498,1630,1332,1273.5,1369.715,166,130.7,302.01,1500,1300,27.3748386704006,16.6901984658468,0.022558936362611,0.0197416698387654,10.6846402045538,5.78517844700782,-6.09761554540528,0.0663275996715154,0.0565749901578103,11.8827939924131,33.4724542158059,"Abroscopus_schisticeps","Abroscopus schisticeps",16.12581814,"invertebrates"
"Brownish-flanked Bush Warbler",2,1379.95,1194.9,1582.665,562.65,418.19375,914.53125,832.65,424.37,1108.865,1400,600,28.8915322996528,17.5134493072507,0.0172517299945106,0.0109816899559281,11.3780829924021,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,25.410887874218,"Cettia_fortipes","Horornis fortipes",11.26084373,"invertebrates"
"Chestnut-headed Tesia",0,780,642.95,1056.355,612,561.55,813.05,155.5,-84.6399999999999,457.185,800,600,33.1288506004326,21.9737226821809,0.03330585812865,0.0161188466669687,11.1551279182517,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,29.6482061749978,"Tesia_castaneocoronata","Cettia castaneocoronata",13.81636995,"invertebrates"
"Black-throated Tit",2,1346.8,1332,1365,1259.5,1248,1332,85.35,13.4474999999998,114.605,1300,1300,29.6548734226214,18.214364790586,0.0189297806672846,0.0105403264791269,11.4405086320353,5.78517844700782,-6.09761554540528,0.0663275996715154,0.0565749901578103,11.8827939924131,35.7524889680267,"Aegithalos_concinnus","Aegithalos concinnus",17.63180272,"invertebrates"
"Bar-tailed Treecreeper",2,1332,1226.15,1332,602,566.23625,602,730,626.22125,759.725,1300,600,29.6548734226214,18.214364790586,0.0189297806672846,0.0105403264791269,11.4405086320353,16.6673224978614,3.48064442543484,0.0220866208077492,0.0124960789734125,13.1866780724266,26.1742289971866,"Certhia_himalayana","Certhia himalayana",20.14125195,"invertebrates"
