Tree.name,Species,Median_S_upper,Median_W_upper,Median_diff_upper,Species,Median_S_median,Median_W_median,Median_diff_median,Species,Median_S_lower,Median_W_lower,Median_diff_lower,Summer_range,Diff_ratio_upper,Diff_ratio_median,Diff_ratio_lower
Prinia_socialis,Ashy Prinia,1011,1194,-193.7,Ashy Prinia,428.5,591,-157,Ashy Prinia,272,272,0,739,-0.191592483,-0.366394399,0
Prunella_rubeculoides,Robin Accentor,5267,4211,1056,Robin Accentor,4187,3619,585.5,Robin Accentor,3303.5,2782.8,524.225,1963.5,0.20049364,0.139837593,0.158687755
Prunella_strophiata,Rufous-breasted Accentor,3458.25,2784,682,Rufous-breasted Accentor,2029,1798.5,209.25,Rufous-breasted Accentor,1298.4,1074.35,231.7,2159.85,0.197209571,0.103129621,0.1784504
Psittacula_alexandri,Red-breasted Parakeet,658,665.15,-0.2,Red-breasted Parakeet,434,442,-23,Red-breasted Parakeet,354,354,2.4,304,-0.000303951,-0.052995392,0.006779661
Psittacula_cyanocephala,Plum-headed Parakeet,1674,1428.3,243.4,Plum-headed Parakeet,666,602,64,Plum-headed Parakeet,272,272,0,1402,0.145400239,0.096096096,0
Psittacula_himalayana,Slaty-headed Parakeet,2417,2182.1,234.5,Slaty-headed Parakeet,1630,1419,201.5,Slaty-headed Parakeet,562.325,591,-8.75,1854.675,0.097021101,0.123619632,-0.015560397
Psittacula_krameri,Rose-ringed Parakeet,1327.625,1475.65,-131.45,Rose-ringed Parakeet,602,602,0,Rose-ringed Parakeet,272,272,0,1055.625,-0.099011393,0,0
Pteruthius_flaviscapis,Himalayan Shrike-Babbler,2603.6,2430.95,168.6,Himalayan Shrike-Babbler,2092,2010,75.5,Himalayan Shrike-Babbler,1402.5,1084.05,320.725,1201.1,0.064756491,0.036089866,0.228680927
Pteruthius_xanthochlorus,Green Shrike-Babbler,2645,2504.5,140.225,Green Shrike-Babbler,2417,2368.75,48.25,Green Shrike-Babbler,1844,1813.075,-29.45,801,0.053015123,0.019962764,-0.015970716
Pucrasia_macrolopha,Koklass Pheasant,3231.4,3236,8.55,Koklass Pheasant,2548,2373,182.5,Koklass Pheasant,1667,1722.55,-43.75,1564.4,0.002645912,0.071624804,-0.026244751
Pycnonotus_cafer,Red-vented Bulbul,2173,2034.7,138,Red-vented Bulbul,653,653,0,Red-vented Bulbul,272,272,0,1901,0.063506673,0,0
Pycnonotus_jocosus,Red-whiskered Bulbul,781.2,814.4,-18.25,Red-whiskered Bulbul,409,409,0,Red-whiskered Bulbul,272,262.9,8.15,509.2,-0.023361495,0,0.029963235
Pycnonotus_leucogenys,Himalayan Bulbul,2417,2293,124,Himalayan Bulbul,1383,1269.75,113,Himalayan Bulbul,434,388,46,1983,0.051303269,0.081706435,0.105990783
Pycnonotus_melanicterus,Black-crested Bulbul,1099,1290,-159.9,Black-crested Bulbul,442,410,15.5,Black-crested Bulbul,323.35,374.375,-50.05,775.65,-0.145495905,0.035067873,-0.154785836
Pyrrhocorax_graculus,Yellow-billed Chough,5092,4211,881,Yellow-billed Chough,4162,3358,804,Yellow-billed Chough,2704,2544.1,161.05,2388,0.173016496,0.193176358,0.059559911
Pyrrhocorax_pyrrhocorax,Red-billed Chough,4632,4211,421,Red-billed Chough,3540,3263,277,Red-billed Chough,2746.6,2551.75,198.975,1885.4,0.090889465,0.078248588,0.072444113
Pyrrhula_erythrocephala,Red-headed Bullfinch,3106.4,2959.6,181.05,Red-headed Bullfinch,1942,1970.5,23.5,Red-headed Bullfinch,1392,1360.3,46.4,1714.4,0.0582829,0.012100927,0.033333333
Rhipidura_albicollis,White-throated Fantail,1656.175,1556,96,White-throated Fantail,844,638,216,White-throated Fantail,565.075,284,286,1091.1,0.057964889,0.255924171,0.506127505
Rhipidura_aureola,White-browed Fantail,1149,1258.35,-109.35,White-browed Fantail,666,488.5,177.5,White-browed Fantail,336.6,320.3,16.3,812.4,-0.095169713,0.266516517,0.048425431
Rhyacornis_fuliginosa,Plumbeous Redstart,2978.85,2646.5,330.275,Plumbeous Redstart,1842,1143,689,Plumbeous Redstart,646.3,363,281.5,2332.55,0.110873324,0.374049946,0.435556243
Saxicola_caprata,Pied Bushchat,1757,1498,234.325,Pied Bushchat,827,368,459,Pied Bushchat,272,245,27,1485,0.133366534,0.555018138,0.099264706
Saxicola_ferreus,Gray Bushchat,2633.6,2173,462.4,Gray Bushchat,1890,863,1023,Gray Bushchat,674.875,326,345,1958.725,0.175577157,0.541269841,0.511205779
Saxicola_torquatus,Siberian Stonechat,3249.2,2061.8,1198.2,Siberian Stonechat,1695,817.75,875,Siberian Stonechat,388,262,127.9,2861.2,0.368767697,0.516224189,0.329639175
Saxicoloides_fulicatus,Indian Robin,1384,1352,43.325,Indian Robin,682,600,86,Indian Robin,272,272,0,1112,0.031304191,0.126099707,0
