"","Value","Std.Error","t.value","p.value","dataset","Variable","adjP"
"62",21.0135439353688,29.384220414504,0.715130217475381,0.475334371499254,"95.q2.sam30","relevel(Diet, ref = ""invertebrates"")seeds",0.706410436402098
"63",-64.9211160622144,59.5763924476991,-1.08971210566681,0.277106922297397,"95.q2.sam30","relevel(Diet, ref = ""invertebrates"")vertebrates",0.554213844594794
"64",4250.08749031499,74.303246594744,57.1992165227357,4.82283803344618e-107,"95.q2.sam60","(Intercept)",4.05118394809479e-106
"65",-129.79808327399,2.22138479640288,-58.4311567649937,1.97308206963967e-108,"95.q2.sam60","ThermalRegime",2.07173617312165e-107
"66",-0.34335290930561,1.15434946884003,-0.297442774977523,0.76652169387856,"95.q2.sam60","HWI",0.911148428572628
"67",1.42686589752325,36.7997341262088,0.0387738099582364,0.969119985917465,"95.q2.sam60","relevel(Diet, ref = ""invertebrates"")fruit",0.990876725041449
"68",-9.09071407123512,23.015786354768,-0.394977339948755,0.693395705669865,"95.q2.sam60","relevel(Diet, ref = ""invertebrates"")omnivore",0.840075566484644
"69",5.37815514796201,32.8655198134525,0.163641262286094,0.870224024951426,"95.q2.sam60","relevel(Diet, ref = ""invertebrates"")seeds",0.945243337447239
"70",-54.6369221228563,70.4137902567005,-0.775940649177837,0.438951333067196,"95.q2.sam60","relevel(Diet, ref = ""invertebrates"")vertebrates",0.706410436402098
"71",4219.62249094316,63.6888174339184,66.253742194559,1.41161798843244e-144,"95.q3.sam30","(Intercept)",8.89319332712437e-143
"72",-129.190429181485,1.82327678077931,-70.8561807748498,1.50993369727693e-150,"95.q3.sam30","ThermalRegime",1.90251645856893e-148
"73",-0.508019324537164,1.0056488387479,-0.505165724816706,0.613962293399001,"95.q3.sam30","HWI",0.782082359359724
"74",-7.57385709155784,30.8838151613833,-0.245237094315604,0.806507867979874,"95.q3.sam30","relevel(Diet, ref = ""invertebrates"")fruit",0.915495417706884
"75",9.51740613455375,19.912815972516,0.477953803605168,0.633170941795085,"95.q3.sam30","relevel(Diet, ref = ""invertebrates"")omnivore",0.797356495775487
"76",19.7541179631718,28.4199456247794,0.695079372212035,0.487759587039544,"95.q3.sam30","relevel(Diet, ref = ""invertebrates"")seeds",0.706410436402098
"77",-56.1098134587585,58.6886035546998,-0.956059780949844,0.34012080273036,"95.q3.sam30","relevel(Diet, ref = ""invertebrates"")vertebrates",0.630223840353314
"78",4254.43862955033,75.4211431932733,56.4090976272789,1.65556187421262e-107,"95.q3.sam60","(Intercept)",1.60462150885223e-106
"79",-130.00214010661,2.22863447127993,-58.3326435007301,9.91603359063951e-110,"95.q3.sam60","ThermalRegime",1.1358365749278e-108
"80",-0.22114736896188,1.16856829491249,-0.189246422245643,0.850139536470898,"95.q3.sam60","HWI",0.935663857263872
"81",0.176843081618713,36.8377691622465,0.00480059150270024,0.996175677097586,"95.q3.sam60","relevel(Diet, ref = ""invertebrates"")fruit",0.998282480034335
"82",-14.4729120856908,22.9763230214723,-0.629905493240381,0.529654931239618,"95.q3.sam60","relevel(Diet, ref = ""invertebrates"")omnivore",0.729836307562946
"83",3.55953015908405,33.0181134634461,0.107805376676798,0.914285145115086,"95.q3.sam60","relevel(Diet, ref = ""invertebrates"")seeds",0.95999940237084
"84",-64.2389532826823,61.4491960879419,-1.04539940914358,0.297415193799522,"95.q3.sam60","relevel(Diet, ref = ""invertebrates"")vertebrates",0.576527914134458
"85",3884.12191510276,111.899928070321,34.7106739216299,6.13526201743016e-83,"50.q1.sam30","(Intercept)",2.66566556619379e-82
"86",-120.228130156949,3.05659055480103,-39.3340645406711,8.62602008625386e-92,"50.q1.sam30","ThermalRegime",4.72555882986081e-91
"87",0.395231573975974,1.79039173340319,0.220751451541119,0.825529404920833,"50.q1.sam30","HWI",0.928720580535937
"88",-128.238133626313,55.8378911701228,-2.29661491397673,0.0227610892266922,"50.q1.sam30","relevel(Diet, ref = ""invertebrates"")fruit",0.0730565117781654
