"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Lemon-rumped Warbler",2,1172,876.1125,1369,565.5,479.3725,591,601.1,311.18875,866.245
"Blue-throated Barbet",2,560,443,601,414.85,381.9875,440.5,138.3,22.37875,194.015
"Brownish-flanked Bush Warbler",2,1611.75,1587,1687.05125,608.85,477,905.77875,1003,707.14,1157.5125
"Common Tailorbird",0,272,272,272,272,272,272,0,0,0
"Indian Pond-Heron",0,262,246.8,270.005,262,256.69875,262,0,-15.10125,8.89999999999998
"Little Egret",1,245.25,245,262,263,262,273.6,-17,-27.45375,-0.946249999999993
"Plum-headed Parakeet",0,272,272,279,272,272,272,0,0,7
"Black-chinned Babbler",1,386,386,388,536.5,438,591,-149.8,-205,-52
"Black-crowned Night-Heron",0,316,287.8275,330.435,275.65,262,328.3675,33.6999999999999,-23.745,64.2575
"Brown-fronted Woodpecker",2,1237,1064,1237,1011.275,932,1073,187.3,22.745,305
"Chestnut-bellied Nuthatch",0,416.05,388,446,379.25,335.335,388,36.85,0,90.0775
"Himalayan Prinia",2,1003.3,920.57,1050,861,832.73125,926.16125,135.625,48.3950000000001,194.25
"Kalij Pheasant",0,775,637.1175,791,761,666,772.8075,10.6,-124,109
"Pied Kingfisher",1,245,244,245,257,253,262,-12,-17.55125,-8
"Red-billed Leiothrix",0,666,666,701.4075,666,654,725,0,-61.41625,48.6924999999999
"Rufous Sibia",2,1584.55,1570,1638.00875,969.775,919,1072.84875,621.8,512.05,698
"Slaty-blue Flycatcher",2,1587,1584.1,1740.60625,388,374.4,403,1199,1182.2,1349.4375
"Carrion Crow",0,2722.8,2642.2,3020.23,2781.4,2548.6,3157,-0.150000000000091,-461.41,324.812499999999
"Eurasian Hoopoe",2,323.4,321,382.205,258.85,248.995,263,67.575,59,125.01375
"Slaty-headed Parakeet",2,931.45,827,1035,442.5,399,529.40875,504.3,360.2925,612
"Long-tailed Minivet",2,1241.325,1157,1271,358.9,311.19,383.81125,888.25,794.1925,954.2175
"Eurasian Collared-Dove",2,272,272,272,262,254.795,262,10,10,17.205
"Long-tailed Shrike",2,584,545.695,589.85375,272,272,272,312,273.695,318.4525
"Black-and-yellow Grosbeak",0,1731.6,1556,1972.12,1587.3,1306.4,1756.1,152.1,-77.5299999999999,499.96
"Blue-fronted Redstart",2,1369,1369,1620.35,1226,1221.61625,1248.23375,143,121.06875,387.46375
"Brown Dipper",2,1229.3,1174.5275,1378.1025,669,666,781.02,549,438.56125,695.67375
"Greenish Warbler",2,410.6,320.24375,602,272,265.7,272,139.25,48.5,330
"Little Forktail",2,1369,1369,1369,807.9,716.7725,1065,561.1,304,652.2275
"Siberian Stonechat",2,1141.25,1093,1164,256.9,245,262,888.5,834,912
"White-capped Bunting",2,1142.25,1056,1538.7575,437,418.78,459.7475,702.55,618.0975,1100.7925
"Eurasian Wren",2,1985.55,1695.85,2362,1586.8,1582.9875,1595.225,399.15,107.8375,773.875
"Great Egret",1,237.725,235.25,243.5,259.75,244.96125,262,-20.725,-26.75,-4.75
"Northern Shoveler",2,602,602,602,262,262,262,340,340,340
"Baya Weaver",0,245.5,245,272,262.5,262,272,-17,-26.505,10
"Black-winged Stilt",0,274.55,262.4,294,262,262,266.95,12,-0.599999999999967,32
"Cattle Egret",0,265.25,262,271,262,253.89625,262,3.80000000000001,0,12.60625
"Common Sandpiper",0,272,272,293.75625,272,264.2,284,0.350000000000023,-10.22,23.35375
"Garganey",2,1580,1580,3123.4025,262,253.75,292.17625,1323.25,1267.73125,2862.305
"Gray-headed Swamphen",0,262,252.1,262.405,262,262,262,0,-9.89999999999998,0.450000000000045
"Pied Bushchat",2,272,262,272,246,245,262,21.475,3.14624999999998,27
"White-breasted Waterhen",0,262,245,272,253,245,262,9,-13.8537499999999,19.05625
"Barn Swallow",2,409,388,409,272,266.995,272,137,116,142
"Gray-breasted Prinia",0,272,272,272,272,272,272,0,0,0
"Paddyfield Pipit",0,244.1,244,245,245,242.4925,249.8,-0.849999999999994,-5.0025,2.09999999999997
"Red-rumped Swallow",2,539.85,410,584,272,272,272,267.85,138,312
"Upland Pipit",0,1237,1236.15,1237,1184.8,1177.2,1290.1375,52.1999999999998,-53.1375,59.8000000000002
"Indian Robin",0,272,272,272,272,267,272,0,0,5
"Purple Sunbird",0,272,272,272,245,231.8,272,27,0,40.2
"Indian Peafowl",2,272,259,272,248.45,245,267,19,2.24625,27
"Brown-headed Barbet",0,272,272,272,272,272,272,0,0,0
"Coppersmith Barbet",0,272,272,272,272,271.6,288,0,-16,0.399999999999977
"Green Bee-eater",0,271.65,260.7,272,299.925,272,345.025,-29,-77.00625,0
