species,LONGITUDE,LATITUDE
species,74.5120276,33.9162803
species,95.832313,27.9778096
species,74.7714642,34.0660325
species,75.7386839,34.4370868
species,95.976042,28.077271
species,75.067081,33.860038
species,78.4711341,30.4903591
species,78.7701692,29.2827091
species,76.7063991,31.5651094
species,76.3127271,34.6913311
species,76.5024693,34.6933854
species,79.0072346,29.4101427
species,88.9059614,26.3625267
species,76.9604508,32.5237742
species,79.7007898,30.1167457
species,77.6477742,34.3323899
species,89.7358259,26.4104806
species,91.9119052,27.5814274
species,76.8057385,34.0871018
species,76.8305445,34.249562
species,92.5960192,27.3092317
species,78.0720858,32.2299226
species,80.2100286,29.6299193
species,76.7077768,32.3168138
species,75.484862,32.355272
species,75.322124,34.017987
species,77.9953766,31.6982856
species,77.9867935,31.8404514
species,75.259634,34.2977476
species,80.8279373,30.1044633
species,77.3943478,34.2766206
species,73.353033,34.502019
species,73.175141,33.676816
species,73.136665,33.809212
species,73.439268,33.07813
species,73.465527,33.758712
species,72.86239,33.528146
species,72.501639,33.051381
species,73.152279,33.498525
species,73.463409,34.644418
species,73.965904,35.099735
species,73.635883,34.8848
species,72.6442432,35.7203611
species,72.6525557,35.5401339
species,73.361187,34.091333
species,71.474277,34.133947
species,73.226515,34.167161
species,71.455994,33.985208
species,72.823734,33.703632
species,72.971003,33.829557
species,73.0425311,33.1061465
species,73.0081959,35.1148824
species,72.9125092,33.9772511
species,70.7840162,33.2864552
species,73.398248,33.9047588
species,73.1938564,34.3385166
species,72.0792911,34.2303028
species,72.7681375,34.7872767
species,72.5752635,34.8017298
species,71.7675815,35.71755
species,71.4695874,33.5565402
species,71.6865865,34.2698773
species,72.5454947,35.2073871
species,72.4510735,34.9106591
species,71.7231513,34.0402511
species,72.3340434,34.7723186
species,72.2179259,34.6755847
species,72.6138226,34.4134097
species,72.0697549,34.0920892
species,72.383047,34.5113465
species,71.0128809,33.5212379
species,72.487908,34.6668823
species,72.375607,33.944226
species,72.2637242,36.27294
species,72.9964358,33.6108815
species,72.3810491,35.1717172
species,72.0522032,34.524907
species,72.4517515,34.0729705
species,71.7929708,35.855124
species,73.336105,33.6440026
species,90.9101486,27.4685818
species,91.7622222,26.8334444
species,89.727405,27.757702
species,91.029617,27.36459
species,91.197358,26.843989
species,91.552615,26.9359998
species,89.526345,27.204566
species,91.541109,27.327201
species,90.711779,27.19848
species,91.535861,27.169836
species,89.8790158,27.0756232
species,90.532696,27.188938
species,90.2086115,27.571743
species,90.3491271,27.4746422
species,89.9030113,27.8073845
species,90.148122,27.446113
species,89.90672,27.345316
species,90.662279,27.497922
species,89.2994392,27.5735807
species,90.676555,27.6501043
species,89.4648681,27.3535617
species,89.3826881,26.8619674
species,90.8604687,27.8637445
species,90.7914404,27.0496074
species,89.8167303,27.6322776
species,89.0658972,26.9071616
species,90.9576952,26.7987323
species,91.3751148,27.2734896
species,91.9035798,27.0387581
species,91.5105574,26.797394
species,89.5110038,27.737317
species,89.3069259,27.3674801
species,89.7373138,27.8945751
species,90.599425,27.01693
species,89.498313,27.500572
species,91.2776533,27.7582067
species,90.9228417,27.1709467
species,90.87141,26.934138
species,89.6557406,27.4381867
species,90.10778,27.2971283
species,91.1631586,27.2605698
species,91.3440755,27.0212531
species,90.040745,27.5843633
species,89.1579543,27.4025594
species,91.4473937,27.6618801
species,89.2092986,27.0002273
species,91.3045886,27.9704192
species,90.2312537,26.8608065
species,90.09744,28.0363383
species,91.976522,26.9036257
species,89.8886813,27.508632
species,91.0725191,27.7813466
species,90.5347883,26.8415592
species,89.5212,26.927495
species,89.774838,26.896377
species,89.639391,27.593108
species,89.7492017,26.7339208
species,90.0702321,26.9710182
species,90.5063444,27.5039181
species,91.428126,27.8055502
species,91.9428356,27.3608234
species,91.1564991,27.5860541
species,89.7108576,28.0612116
species,89.1948717,26.82028
species,90.8699958,27.62742
species,91.15736,27.0524367
species,90.1283447,27.098881
species,91.2178417,27.4130675
species,89.560138,27.07016
species,90.4134366,26.9362947
species,89.4396117,27.9454908
species,90.5906368,27.3279947
species,89.3337433,27.7660583
species,91.515177,27.520853
